Age,Family_Income,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Parental_Education,GPA_Trend,Time_Pressure,Income_Study_Ratio,Gender_Male,Internet_Access_Yes,Part_Time_Job_Yes,Scholarship_Yes
20.6,-0.6487709389971793,2.7,97.3,3,34.6,5.7,2.71,2.6,2.65,3,3,-0.04999999999999982,214.6,6756.756756756757,False,True,True,False
22.5,0.23523839252683112,2.28,86.5,3,30.3,6.5,1.14,1.07,1.13,3,2,-0.05999999999999983,210.3,12989.024390243903,True,True,True,False
17.0,-0.5638048069284094,5.32,86.4,0,27.1,6.1,3.02,2.88,2.9,2,3,-0.020000000000000018,27.1,4223.4177215189875,True,True,False,False
21.6,0.29494568036948327,2.87,89.5,0,7.3,4.1,1.85,1.89,1.94,3,2,-0.050000000000000044,7.3,11316.020671834625,True,True,False,True
20.1,-0.6487709389971793,3.68,79.3,1,30.9,7.7,0.0,0.2,0.2,1,1,0.0,90.9,5341.880341880342,False,True,False,False
21.1,-0.6487709389971793,2.98,69.0,3,26.7,7.6,0.1,0.17,0.2,3,2,-0.03,206.7,6281.407035175879,False,True,False,False
21.6,-0.5769112847475282,3.73,72.3,2,49.8,5.3,3.21,3.03,3.04,4,2,-0.010000000000000231,169.8,5587.949260042283,True,True,False,True
27.9,-0.5918757690007749,6.24,77.4,4,51.3,6.7,2.34,2.29,2.27,3,1,0.020000000000000018,291.3,3609.5303867403313,False,False,False,False
21.5,1.8433178530695138,0.52,62.8,2,39.0,4.2,1.72,1.75,1.8,3,4,-0.050000000000000044,159.0,49096.71052631579,False,True,False,True
18.3,-0.6487709389971793,2.44,81.1,0,44.4,6.3,0.71,0.32,0.32,2,2,0.0,44.4,7267.441860465116,True,True,False,False
22.2,1.9942683217448816,2.5,81.3,1,27.6,2.6,2.6,2.21,2.21,2,5,0.0,87.6,22180.85714285714,False,True,True,True
20.3,-0.6487709389971793,6.42,76.9,0,40.9,5.9,2.07,1.78,1.66,2,1,0.1200000000000001,40.9,3369.2722371967657,False,False,False,True
27.0,0.7918870769135419,4.39,67.3,2,50.5,4.1,3.47,3.57,3.54,3,1,0.029999999999999805,170.5,9960.853432282005,False,True,True,False
19.4,-0.6487709389971793,5.7,84.7,3,16.9,6.7,2.38,2.24,2.26,4,1,-0.019999999999999574,196.9,3731.3432835820895,True,True,False,False
18.9,-0.6487709389971793,2.24,95.0,2,44.9,8.8,2.84,2.88,2.88,1,1,0.0,164.9,7716.049382716049,True,True,True,False
20.5,-0.4084855123133353,4.027431865828092,92.4,1,34.8,5.515947888589398,0.2,0.23,0.17,2,3,0.06,94.8,5924.496004103275,True,True,False,False
22.3,-0.21384678424090492,4.96,73.7,4,27.0,5.9,2.16,2.42,2.47,4,3,-0.050000000000000266,267.0,5647.818791946309,True,True,False,False
20.8,1.6184488581499206,4.11,80.0,0,28.6,2.8,2.1,2.04,2.0,2,4,0.040000000000000036,28.6,13727.788649706457,False,False,True,True
23.9,-0.5666169247746571,3.18,77.9,0,37.7,8.2,1.93,1.75,1.75,3,3,0.0,37.7,6372.2488038277515,True,True,True,True
20.1,0.36273780702009756,3.47,83.9,4,24.6,7.1,1.21,1.42,1.42,1,2,0.0,264.6,10099.105145413869,False,True,True,False
20.7,1.3996560464338268,1.49,76.9,2,13.4,1.0,1.9,2.11,2.11,3,2,0.0,133.4,26422.489959839357,True,True,True,False
18.1,-0.11728066605636323,4.49,84.1,3,25.5,4.1,2.79,2.75,2.75,1,1,0.0,205.5,6481.6029143897995,False,True,False,True
20.5,1.676499005118891,3.78,77.4,2,27.6,7.0,1.36,1.33,1.29,2,1,0.040000000000000036,147.6,14917.364016736403,False,True,False,False
21.2,-0.6487709389971793,5.49,91.9,1,14.7,3.7,3.51,3.62,3.62,1,5,0.0,74.7,3852.080123266564,False,True,False,True
20.6,1.6250774216446473,3.94,79.9,2,5.0,4.0,2.01,2.35,2.34,2,3,0.010000000000000231,125.0,14226.923076923078,True,True,False,False
20.3,-0.32105877712909864,3.39,83.0,0,15.1,8.2,0.0,0.0,0.0,2,1,0.0,15.1,7181.32118451025,True,False,True,False
24.3,-0.6487709389971793,1.18,94.3,1,39.5,6.7,2.27,2.12,2.12,1,2,0.0,99.5,11467.889908256882,False,True,False,False
22.6,-0.6487709389971793,1.92,73.4,0,5.0,7.1,0.87,0.98,0.99,2,3,-0.010000000000000009,5.0,8561.643835616438,False,False,True,True
21.5,1.112368078605557,1.71,99.9,2,44.1,5.7,1.92,2.3,2.3,1,3,0.0,164.1,22166.420664206642,False,True,True,False
23.7,1.198840702377674,2.63,80.7,1,40.7,2.4,1.63,1.71,1.78,4,1,-0.07000000000000006,100.7,17022.865013774106,False,True,True,True
17.0,-0.6487709389971793,3.69,86.6,3,37.0,6.6,2.26,2.28,2.26,3,3,0.020000000000000018,217.0,5330.490405117272,False,True,False,False
19.0,-0.5366377398780521,6.13,83.6,1,21.9,5.3,4.0,3.88,3.85,4,1,0.029999999999999805,81.9,3819.4950911640954,True,True,False,True
25.1,-0.4084855123133353,4.027431865828092,77.9,3,10.9,5.515947888589398,2.56,2.4,2.48,3,1,-0.08000000000000007,190.9,5924.496004103275,True,True,False,True
20.3,1.2323350345820885,4.22,74.3,1,27.3,6.2,1.45,1.43,1.43,2,2,0.0,87.3,11965.517241379312,True,True,False,False
20.7,1.364353924185396,3.83,79.1,4,46.4,5.4,0.84,1.35,1.36,3,2,-0.010000000000000009,286.4,13475.983436853001,False,True,False,False
24.5,-0.6487709389971793,6.09,90.0,0,38.0,7.7,0.11,0.45,0.41,2,2,0.040000000000000036,38.0,3526.093088857546,False,True,False,True
17.1,-0.6487709389971793,3.98,98.0,2,32.5,3.7,3.88,3.93,3.89,3,4,0.040000000000000036,152.5,5020.08032128514,False,True,False,False
23.0,-0.6487709389971793,2.46,76.9,3,31.1,2.5,2.19,2.05,2.09,2,2,-0.040000000000000036,211.1,7225.43352601156,True,True,False,False
20.5,0.03507586154212847,3.89,82.4,2,30.7,7.1,2.5,2.56,2.52,4,1,0.040000000000000036,150.7,7897.341513292433,False,False,False,False
22.6,1.1618312228654497,4.03,70.0,1,35.6,2.6,2.56,2.42,2.45,3,1,-0.03000000000000025,95.6,12138.369781312127,False,True,False,False
25.7,-0.6487709389971793,5.38,77.9,2,20.2,9.0,1.47,1.62,1.69,3,3,-0.06999999999999984,140.2,3918.4952978056426,True,True,True,False
25.8,-0.6487709389971793,2.58,84.6,2,24.4,5.5,2.35,2.4,2.42,4,2,-0.020000000000000018,144.4,6983.240223463687,False,True,True,False
19.1,-0.6487709389971793,4.95,77.5,1,49.5,5.4,1.93,1.73,1.67,3,1,0.06000000000000005,109.5,4201.680672268907,True,True,False,True
26.6,-0.6487709389971793,6.33,77.9,1,5.0,7.2,2.98,3.32,3.28,3,2,0.040000000000000036,65.0,3410.6412005457028,False,True,True,True
20.2,1.1037810758964792,4.89,74.2,1,43.9,2.9,3.22,3.16,3.16,1,1,0.0,103.9,10169.779286926996,False,True,False,False
22.7,0.46939741961706405,3.03,77.6,1,37.6,6.7,1.6,1.86,1.84,4,3,0.020000000000000018,97.6,11728.784119106702,False,True,False,False
20.9,-0.6138203314795293,4.12,65.1,2,18.1,6.4,4.0,3.93,3.93,1,1,0.0,138.1,5018.75,True,True,False,False
21.2,3.2198997551978765,2.84,87.7,3,61.2,9.5,1.97,2.26,2.22,3,2,0.03999999999999959,241.2,26572.916666666668,True,True,False,True
19.5,0.32924347481568295,4.5,81.6,2,22.8,1.8,3.88,4.0,4.0,1,1,0.0,142.8,8086.545454545455,True,True,True,False
18.9,-0.6223571177984956,6.94,89.6,2,8.1,5.2,4.0,3.85,3.86,2,1,-0.009999999999999787,128.1,3214.8614609571787,True,True,True,False
22.5,1.2013013054931407,3.54,83.8,1,23.8,5.9,0.47,0.55,0.52,4,2,0.030000000000000027,83.8,13621.5859030837,False,True,False,True
23.6,0.8745432550371797,4.53,72.8,4,28.5,3.2,3.89,3.55,3.55,1,1,0.0,268.5,10006.32911392405,True,True,True,True
23.3,0.10422383072575504,4.85,80.5,0,19.7,4.6,1.94,2.3,2.28,2,2,0.020000000000000018,19.7,6836.752136752137,False,True,True,False
22.5,-0.4943555394041134,4.02,78.4,3,26.6,1.8,2.54,2.35,2.35,1,3,0.0,206.6,5592.629482071714,True,True,True,False
18.8,-0.6487709389971793,4.26,82.1,2,15.1,5.8,1.8,1.77,1.82,3,2,-0.050000000000000044,135.1,4752.851711026617,False,True,True,False
21.6,-0.6487709389971793,3.15,98.4,0,27.7,5.2,3.67,3.82,3.74,4,2,0.07999999999999963,27.7,6024.096385542168,False,False,False,False
20.0,-0.33220681573386635,6.37,89.5,1,21.6,4.7,3.29,2.9,2.89,3,4,0.009999999999999787,81.6,4247.489823609227,False,True,False,False
23.7,-0.6487709389971793,4.1,77.9,0,5.7,10.0,0.54,0.47,0.47,1,1,0.0,5.7,4901.9607843137255,False,False,False,True
21.4,-0.3652492004272768,6.2,86.3,4,42.5,5.2,2.03,2.34,2.34,4,2,0.0,282.5,4256.388888888889,True,True,False,True
17.0,-0.6487709389971793,5.75,61.8,3,19.4,3.1,2.33,1.98,1.97,4,1,0.010000000000000009,199.4,3703.703703703704,True,True,False,True
21.0,0.06174076469137009,4.44,69.9,2,12.1,8.9,0.29,0.23,0.23,4,1,0.0,132.1,7196.507352941176,True,False,False,False
20.3,0.11903766580866706,2.32,77.5,1,32.6,5.2,0.51,0.48,0.44,4,3,0.03999999999999998,92.6,12135.5421686747,True,True,False,False
21.5,-0.350184283393807,4.55,75.6,0,16.5,4.8,3.5,3.74,3.78,2,2,-0.03999999999999959,16.5,5575.855855855856,False,True,False,True
21.9,1.4619745865622804,3.15,78.0,1,29.3,4.1,0.0,0.0,0.0,2,2,0.0,89.3,16152.530120481926,True,True,True,False
23.8,-0.19255503483360087,3.32,77.4,3,41.3,5.3,0.81,0.59,0.59,1,5,0.0,221.3,7890.046296296296,True,True,True,True
22.9,0.06731478399375393,5.25,72.6,0,44.8,7.5,0.98,1.05,0.99,3,4,0.06000000000000005,44.8,6281.6,True,True,False,True
18.5,-0.6487709389971793,3.26,86.7,4,5.0,9.3,2.54,2.27,2.25,2,1,0.020000000000000018,245.0,5868.544600938967,False,True,False,False
19.6,-0.6443016802772499,4.81,94.6,0,15.7,3.7,2.08,2.24,2.27,3,2,-0.029999999999999805,15.7,4318.244406196213,True,True,True,True
19.2,0.3973368998069666,3.83,79.7,3,7.5,5.3,1.99,1.6,1.52,2,2,0.08000000000000007,187.5,9489.026915113871,True,True,True,False
23.9,1.1705688747448622,4.83,84.8,2,24.9,6.9,2.19,2.31,2.35,4,2,-0.040000000000000036,144.9,10502.572898799313,True,True,False,False
20.8,-0.38066563219152766,5.63,88.3,2,51.0,6.1,3.26,3.52,3.52,4,3,0.0,171.0,4576.018099547511,True,True,False,True
21.0,1.7638755239130162,3.96,76.0,0,29.6,5.8,1.97,2.08,2.04,2,1,0.040000000000000036,29.6,14726.814516129032,True,True,False,True
19.8,-0.6487709389971793,4.39,96.0,4,20.2,6.0,0.94,0.18,0.14,4,2,0.03999999999999998,260.2,4638.21892393321,True,False,True,False
24.1,-0.6487709389971793,4.22,94.2,1,21.2,7.1,3.82,3.72,3.65,4,1,0.07000000000000028,81.2,4789.272030651341,True,True,True,True
17.0,0.8252307599476217,3.59,85.9,2,31.3,6.9,1.66,1.76,1.79,4,3,-0.030000000000000027,151.3,11841.61220043573,True,True,False,True
19.5,-0.05164784418054627,3.61,81.6,1,20.1,6.4,3.12,2.79,2.88,4,1,-0.08999999999999986,80.1,8002.386117136661,False,False,True,True
21.1,-0.21706063320804514,3.25,80.6,1,38.3,7.0,3.23,2.92,2.86,2,1,0.06000000000000005,98.3,7905.176470588235,True,True,True,True
25.6,-0.5465303687300306,3.93,90.9,3,32.9,7.3,2.09,2.32,2.18,4,1,0.13999999999999968,212.9,5483.97565922921,True,False,True,False
17.9,-0.6487709389971793,3.63,71.4,2,21.8,3.9,3.39,3.36,3.35,4,1,0.009999999999999787,141.8,5399.5680345572355,True,True,False,False
20.7,-0.4084855123133353,4.027431865828092,49.0,3,9.7,5.515947888589398,3.81,3.98,3.97,2,5,0.009999999999999787,189.7,5924.496004103275,True,True,False,False
19.6,-0.6487709389971793,4.67,90.6,1,35.7,3.1,2.95,2.63,2.61,3,4,0.020000000000000018,95.7,4409.171075837742,False,True,False,False
24.0,-0.2510069129234639,1.58,86.8,1,44.4,5.3,1.66,1.69,1.72,4,1,-0.030000000000000027,104.4,12760.077519379845,False,True,True,False
25.0,1.2823505591332083,3.41,86.7,2,15.5,2.8,3.44,3.84,3.84,1,1,0.0,135.5,14389.115646258502,False,True,True,False
19.4,-0.6487709389971793,4.84,89.5,1,25.6,6.4,2.57,2.71,2.71,1,1,0.0,85.6,4280.821917808219,False,True,False,False
19.1,-0.5877078086215148,1.34,92.8,1,29.6,7.4,3.68,3.59,3.55,4,2,0.040000000000000036,89.6,11203.418803418805,True,True,False,True
22.2,2.608364556419224,2.88,85.8,2,13.9,6.8,2.63,2.97,3.03,2,3,-0.05999999999999961,133.9,23160.309278350516,False,True,False,False
18.9,0.28515348429772785,3.27,93.6,1,11.8,6.7,4.0,4.0,4.0,3,1,0.0,71.8,10210.304449648713,True,True,False,True
24.5,-0.6487709389971793,3.66,85.4,1,37.5,6.0,2.8,3.01,3.01,3,1,0.0,97.5,5364.806866952789,True,True,True,True
20.2,0.23322973692236848,2.93,84.4,1,29.6,6.2,1.53,1.69,1.69,3,2,0.0,89.6,10830.534351145037,True,True,True,True
21.1,0.3389352381072152,2.75,79.2,1,33.0,4.1,2.9,3.11,3.14,3,2,-0.03000000000000025,93.0,11911.733333333334,True,True,True,False
19.3,-0.4061253419780917,2.06,79.6,1,24.9,3.4,2.87,2.74,2.74,1,2,0.0,84.9,9749.019607843136,True,True,False,True
20.3,-0.33481806801966774,3.37,87.7,2,33.7,5.4,3.3,3.21,3.16,2,2,0.04999999999999982,153.7,7151.487414187643,False,True,True,True
17.8,0.3617836956079778,3.9,81.1,2,10.8,5.0,3.2,3.14,3.14,1,2,0.0,130.8,9208.979591836734,True,True,False,False
20.1,-0.38794700875770477,5.32,91.3,3,46.9,1.4,4.0,3.65,3.56,3,2,0.08999999999999986,226.9,4777.53164556962,False,True,True,True
21.8,-0.6487709389971793,4.64,95.1,2,44.8,6.9,3.22,3.68,3.67,3,3,0.010000000000000231,164.8,4432.624113475177,False,False,False,True
25.3,-0.1966727788227493,3.89,63.2,1,23.0,4.1,3.18,3.21,3.21,1,1,0.0,83.0,6953.578732106339,False,True,True,True
20.2,-0.6487709389971793,2.32,80.5,2,28.2,10.0,0.42,0.0,0.0,1,2,0.0,148.2,7530.120481927711,True,False,True,True
20.6,-0.6487709389971793,2.78,85.1,1,28.4,5.5,2.76,2.62,2.66,4,2,-0.040000000000000036,88.4,6613.756613756614,False,True,False,False
18.2,0.9376652574074184,3.34,78.3,2,6.4,4.3,3.46,3.26,3.26,1,2,0.0,126.4,13039.63133640553,True,False,True,False
21.2,-0.6487709389971793,1.3,72.3,3,47.2,3.7,2.81,2.31,2.27,3,1,0.040000000000000036,227.2,10869.565217391306,False,True,True,True
20.2,0.1529337291339742,1.48,74.8,2,19.7,7.1,0.29,0.4,0.34,2,2,0.06,139.7,16518.145161290322,True,True,False,False
24.4,-0.4084855123133353,4.027431865828092,77.9,0,16.5,5.515947888589398,0.7,0.63,0.63,1,2,0.0,16.5,5924.496004103275,True,True,False,False
20.2,0.4334424842971827,2.39,75.4,1,8.8,4.8,2.53,2.47,2.5,2,3,-0.029999999999999805,68.8,13731.858407079646,True,True,True,False
17.0,0.20947738439959768,6.89,77.8,3,26.8,7.0,3.04,3.42,3.46,3,2,-0.040000000000000036,206.8,5334.727503168568,False,False,True,False
19.6,4.866846701686911,3.3,83.1,1,42.0,2.0,4.0,3.77,3.82,2,1,-0.04999999999999982,102.0,31357.44186046512,True,True,False,True
20.1,-0.5038464371351994,6.5,84.1,2,28.9,6.8,2.19,2.37,2.32,2,3,0.050000000000000266,148.9,3718.133333333333,False,True,False,True
19.8,2.7283315123957554,4.98,84.0,1,16.8,5.2,2.27,2.2,2.18,3,3,0.020000000000000018,76.8,15426.58862876254,False,True,True,False
18.7,-0.6487709389971793,3.26,68.5,3,13.9,2.8,2.04,2.07,2.08,4,3,-0.010000000000000231,193.9,5868.544600938967,True,True,False,True
24.3,-0.5440195492244523,3.53,93.4,0,60.2,2.8,4.0,4.0,3.94,3,1,0.06000000000000005,60.2,5979.249448123621,True,True,True,False
21.4,-0.6487709389971793,3.58,76.8,3,33.7,6.1,0.59,1.21,1.19,2,1,0.020000000000000018,213.7,5458.515283842795,False,True,False,False
17.0,0.6873365527012611,2.77,95.1,1,28.1,2.5,3.62,3.43,3.45,2,1,-0.020000000000000018,88.1,13688.859416445623,True,True,False,False
19.9,-0.6487709389971793,4.61,83.8,0,24.3,3.8,3.16,3.38,3.35,3,2,0.029999999999999805,24.3,4456.32798573975,False,True,False,False
23.3,-0.6487709389971793,2.46,84.0,3,26.3,5.8,2.2,1.99,2.0,3,3,-0.010000000000000009,206.3,7225.43352601156,False,True,False,False
20.5,-0.1391247957548945,3.48,79.8,0,31.0,6.3,2.09,2.01,2.0,3,3,0.009999999999999787,31.0,7845.7589285714275,True,True,True,False
22.9,-0.4177253280938635,1.98,70.4,1,21.5,4.2,0.92,0.3,0.3,1,2,0.0,81.5,9933.221476510067,True,True,False,False
17.0,-0.6487709389971793,1.96,73.0,3,36.6,5.4,1.08,1.13,1.1,3,2,0.029999999999999805,216.6,8445.945945945947,True,True,True,False
21.5,0.44449009012172724,2.32,76.7,3,5.0,5.5,2.81,3.16,3.17,3,3,-0.009999999999999787,185.0,14087.65060240964,True,True,False,False
21.7,-0.6487709389971793,5.32,78.0,0,47.2,7.7,1.96,1.27,1.29,3,2,-0.020000000000000018,47.2,3955.696202531645,False,True,True,False
22.2,-0.6487709389971793,5.18,79.0,1,29.0,7.8,1.67,1.36,1.38,4,1,-0.019999999999999796,89.0,4045.307443365696,True,True,False,True
22.9,-0.6487709389971793,3.18,76.5,3,27.1,4.9,3.15,3.41,3.33,4,2,0.08000000000000007,207.1,5980.861244019139,True,True,False,False
19.8,0.2910288019407811,2.5,86.1,0,43.1,5.6,1.86,1.94,1.97,3,1,-0.030000000000000027,43.1,12490.0,True,True,False,False
21.5,0.5135376265251307,3.44,84.8,0,32.6,2.3,2.55,3.14,3.19,3,1,-0.04999999999999982,32.6,10843.693693693695,True,True,False,True
20.5,-0.6487709389971793,4.64,78.2,1,41.5,5.0,1.8,1.82,1.82,1,1,0.0,101.5,4432.624113475177,True,True,True,False
21.1,-0.5966463260613737,5.07,81.3,1,30.4,6.9,1.29,1.14,1.16,3,3,-0.020000000000000018,90.4,4289.621087314662,False,True,True,False
17.0,-0.2937912772985182,3.27,95.7,1,23.6,6.4,3.5,4.0,3.99,3,1,0.009999999999999787,83.6,7510.304449648713,True,True,False,False
21.0,-0.6487709389971793,6.01,71.2,3,27.6,1.4,2.88,2.82,2.78,4,3,0.040000000000000036,207.6,3566.333808844508,True,True,False,True
19.1,-0.6487709389971793,4.04,78.2,2,22.8,4.8,0.77,1.18,1.2,3,2,-0.020000000000000018,142.8,4960.31746031746,False,True,True,False
20.9,-0.17076112152518116,3.14,77.1,4,30.9,5.3,2.88,3.68,3.69,2,1,-0.009999999999999787,270.9,8337.92270531401,False,False,True,True
24.2,-0.6487709389971793,1.69,87.4,1,43.0,4.2,0.88,1.45,1.44,3,2,0.010000000000000009,103.0,9293.68029739777,True,True,True,True
21.3,-0.2631090629403513,5.7,83.1,2,5.0,6.7,3.31,3.54,3.52,3,2,0.020000000000000018,125.0,4877.611940298508,True,False,False,False
18.8,0.19973540471795387,2.64,79.0,4,5.0,7.2,0.0,0.54,0.51,4,3,0.030000000000000027,245.0,11510.164835164835,False,True,False,True
20.8,-0.4084855123133353,4.027431865828092,68.3,0,9.0,5.515947888589398,3.12,3.13,3.21,4,3,-0.08000000000000007,9.0,5924.496004103275,False,True,False,False
19.2,0.23011632073545138,1.03,73.5,0,20.9,6.4,1.45,1.37,1.37,2,2,0.0,20.9,20936.94581280788,False,True,True,False
21.4,-0.6487709389971793,3.3,74.9,0,57.3,5.2,1.7,1.15,1.2,2,1,-0.050000000000000044,57.3,5813.9534883720935,False,True,True,True
22.6,-0.6487709389971793,3.54,77.0,2,30.8,4.4,1.26,1.03,1.03,1,1,0.0,150.8,5506.607929515419,False,True,True,False
19.0,-0.6487709389971793,5.1,98.4,6,48.0,5.8,2.55,2.81,2.75,2,5,0.06000000000000005,408.0,4098.360655737705,False,True,False,False
22.5,-0.19114897591047703,2.9,84.7,2,45.5,2.5,0.75,0.32,0.29,4,2,0.030000000000000027,165.5,8746.923076923076,False,True,True,True
24.9,2.604297028820187,2.45,78.7,0,17.1,6.1,2.09,2.37,2.33,3,1,0.040000000000000036,17.1,26023.478260869564,True,True,True,True
24.8,0.18150685510745534,3.17,91.5,0,32.2,4.7,3.9,3.8,3.81,3,2,-0.010000000000000231,32.2,9960.191846522783,True,True,False,True
18.8,-0.6487709389971793,4.77,68.1,0,55.0,3.4,2.91,3.08,3.11,3,1,-0.029999999999999805,55.0,4332.7556325823225,True,True,False,False
17.9,-0.6487709389971793,4.83,76.3,0,39.9,2.2,3.49,3.27,3.27,3,1,0.0,39.9,4288.164665523156,False,True,False,False
19.3,-0.6487709389971793,5.11,78.3,4,37.0,3.8,3.18,3.65,3.54,4,3,0.10999999999999988,277.0,4091.6530278232403,True,True,False,False
21.0,-0.6487709389971793,3.78,72.8,4,37.7,6.2,2.06,2.08,2.08,1,1,0.0,277.7,5230.125523012553,False,True,True,True
20.3,-0.6487709389971793,4.39,89.8,2,27.3,3.0,4.0,4.0,4.0,2,2,0.0,147.3,4638.21892393321,False,True,True,False
20.3,-0.34009078898138223,4.5,79.1,2,31.6,7.7,2.66,2.81,2.84,3,2,-0.029999999999999805,151.6,5663.090909090909,True,True,False,False
